Ingenio,Hacienda,Suerte,Municipio,Corregimiento,Codigo_14,Municipio_Clean,h8,Es_Hacienda_Ausente,Hda_Real,DAR
Castilla,SAN RAFAEL,250,Pradera,La Tupia,CC000105000250,PRADERA,CC000105,True,SAN RAFAEL,SURORIENTE
Castilla,SAN RAFAEL,265,Pradera,La Tupia,CC000105000265,PRADERA,CC000105,True,SAN RAFAEL,SURORIENTE
Castilla,EL NILO AGRICOLA,241,Florida,Remolino,CC000112000241,FLORIDA,CC000112,True,EL NILO AGRICOLA,SURORIENTE
Castilla,EL NILO AGRICOLA,260,Florida,Remolino,CC000112000260,FLORIDA,CC000112,True,EL NILO AGRICOLA,SURORIENTE
Castilla,AVELINA,180,Pradera,La Granja,CC000503000180,PRADERA,CC000503,True,AVELINA,SURORIENTE
Castilla,SAN JORGE,030,Pradera,La Tupia,CC000101000030,PRADERA,CC000101,True,SAN JORGE,SURORIENTE
Castilla,EL LIBANO,040,Pradera,La Tupia,CC000107000040,PRADERA,CC000107,True,EL LIBANO,SURORIENTE
Castilla,CALANDA,151,Florida,Remolino,CC000110000151,FLORIDA,CC000110,True,CALANDA,SURORIENTE
Castilla,CALANDA,170,Florida,Remolino,CC000110000170,FLORIDA,CC000110,True,CALANDA,SURORIENTE
Castilla,LORENA,011,Pradera,La Tupia,CC000102000011,PRADERA,CC000102,True,LORENA,SURORIENTE
Castilla,CALANDA,041,Florida,Remolino,CC000110000041,FLORIDA,CC000110,True,CALANDA,SURORIENTE
Castilla,CALANDA,070,Florida,Remolino,CC000110000070,FLORIDA,CC000110,True,CALANDA,SURORIENTE
Castilla,CALANDA,090,Florida,Remolino,CC000110000090,FLORIDA,CC000110,True,CALANDA,SURORIENTE
Castilla,CALANDA,091,Florida,Remolino,CC000110000091,FLORIDA,CC000110,True,CALANDA,SURORIENTE
